Country,BCG_2014
Afghanistan,86
Albania,99
Algeria,99
Angola,81
Argentina,99
Armenia,99
Austria,
Azerbaijan,98
Bangladesh,99
Belarus,98
Belize,98
Benin,88
Bhutan,99
Bolivia (Plurinational State of),99
Bosnia and Herzegovina,98
Botswana,98
Brazil,99
Brunei Darussalam,99
Bulgaria,97
Burkina Faso,98
Burundi,92
Cote d'Ivoire,84
Cabo Verde,99
Cambodia,93
Cameroon,82
Central African Republic,74
Chad,59
Chile,98
China,99
Colombia,89
Comoros,76
Congo,95
Cook Islands,99
Costa Rica,80
Croatia,98
Cuba,99
Czech Republic,
Democratic People's Republic of Korea,98
Democratic Republic of the Congo,90
Djibouti,86
Dominica,98
Dominican Republic,99
Ecuador,89
Egypt,96
El Salvador,96
Equatorial Guinea,71
Eritrea,97
Estonia,95
Ethiopia,75
Fiji,99
Finland,
France,
Gabon,91
Gambia,96
Georgia,96
Ghana,99
Greece,
Guatemala,91
Guinea,72
Guinea-Bissau,94
Guyana,99
Haiti,76
Honduras,86
Hungary,99
India,91
Indonesia,93
Iran (Islamic Republic of),99
Iraq,95
Ireland,74
Israel,
Jamaica,90
Japan,93
Jordan,95
Kazakhstan,95
Kenya,81
Kiribati,72
Kuwait,99
Kyrgyzstan,97
Lao People's Democratic Republic,82
Latvia,92
Lesotho,87
Liberia,73
Libya,99
Lithuania,98
Madagascar,75
Malawi,97
Malaysia,99
Maldives,99
Mali,79
Malta,
Marshall Islands,89
Mauritania,98
Mauritius,97
Mexico,96
Micronesia (Federated States of),70
Monaco,89
Mongolia,99
Montenegro,91
Morocco,99
Mozambique,93
Myanmar,86
Namibia,97
Nauru,99
Nepal,99
Nicaragua,98
Niger,76
Nigeria,74
Niue,99
Oman,99
Pakistan,85
Panama,99
Papua New Guinea,81
Paraguay,95
Peru,94
Philippines,87
Poland,93
Portugal,99
Qatar,90
Republic of Korea,99
Republic of Moldova,97
Romania,98
Russian Federation,96
Rwanda,99
Saint Kitts and Nevis,99
Saint Lucia,89
Saint Vincent and the Grenadines,96
Samoa,95
Sao Tome and Principe,95
Saudi Arabia,98
Senegal,95
Serbia,98
Seychelles,98
Sierra Leone,90
Singapore,99
Slovakia,
Slovenia,
Solomon Islands,99
Somalia,37
South Africa,77
South Sudan,46
Sri Lanka,99
Sudan,95
Swaziland,99
Sweden,26
Syrian Arab Republic,81
Tajikistan,98
Thailand,99
The former Yugoslav republic of Macedonia,99
Timor-Leste,79
Togo,97
Tonga,89
Tunisia,95
Turkey,95
Turkmenistan,99
Tuvalu,99
Uganda,93
Ukraine,95
United Arab Emirates,90
United Republic of Tanzania,99
Uruguay,99
Uzbekistan,99
Vanuatu,73
Venezuela (Bolivarian Republic of),95
Viet Nam,96
Yemen,73
Zambia,95
Zimbabwe,99
