Outlet,MapID,Dimension1,Dimension2,Test,Var2
ESRI,Esri_map001,0.371,-0.659,1,0
ESRI,Esri_map002,0.765,-0.489,1,0
ESRI,Esri_map003,0.806,-0.492,1,0
ESRI,Esri_map004,0.765,-0.489,1,0
ESRI,Esri_map005,0.765,-0.489,1,0
ESRI,Esri_map006,0.721,-0.513,1,0
ESRI,Esri_map007,0.81,-0.338,1,0
ESRI,Esri_map008,0.749,-0.392,1,0
ESRI,Esri_map009,0.479,-0.38,1,0
ESRI,Esri_map010,0.384,0.781,1,0
ESRI,Esri_map011,0.586,0.368,1,0
ESRI,Esri_map012,0.659,-0.298,1,0
ESRI,Esri_map013,0.674,-0.709,1,0
ESRI,Esri_map014,0.802,-0.183,1,0
ESRI,Esri_map015,0.168,-0.95,1,0
ESRI,Esri_map016,0.168,-0.68,1,0
ESRI,Esri_map017,0.282,0.746,1,0
Eco,Eco_map001,-0.188,-0.557,1,0
Eco,Eco_map002,0.315,0.14,1,0
Eco,Eco_map003,-0.266,-0.515,1,0
Eco,Eco_map004,-0.141,-0.78,1,0
Eco,Eco_map005,0.582,0.488,1,0
Eco,Eco_map006,0.707,-0.018,1,0
Eco,Eco_map007,0.117,-0.459,1,0
Eco,Eco_map009,0.271,-0.165,1,0
Eco,Eco_map010,0.477,0.702,1,0
Eco,Eco_map012,-0.007,-0.647,1,0
Eco,Eco_map013,-0.377,0.569,1,0
Eco,Eco_map014,0.682,-0.121,1,0
Eco,Eco_map016,-0.592,0.144,1,0
Eco,Eco_map017,0.768,0.317,1,0
Eco,Eco_map018,0.057,-0.873,1,0
Eco,Eco_map019,0.161,-0.471,1,0
Eco,Eco_map020,-0.21,-0.64,1,0
Eco,Eco_map021,-0.173,0.73,1,0
Eco,Eco_map022,0.478,-0.641,1,0
Eco,Eco_map023,-0.831,0.308,1,0
Eco,Eco_map025,0.02,-0.171,0,0
Eco,Eco_map026,0.153,0.545,0,0
Eco,Eco_map027,-0.357,-0.364,0,0
Eco,Eco_map028,0.291,-0.648,0,0
Eco,Eco_map032,-0.199,0.591,0,0
Eco,Eco_map033,-0.463,-0.664,0,0
Eco,Eco_map034,-0.114,-0.745,0,0
Eco,Eco_map035,-0.156,0.06,0,0
Eco,Eco_map037,0.045,-0.697,0,1
Eco,Eco_map040,0.244,-0.484,0,1
Eco,Eco_map041,0.785,0.18,0,1
Eco,Eco_map044,0.07,-0.588,0,1
Eco,Eco_map045,-0.33,-0.5,0,1
Eco,Eco_map046,0.196,0.26,0,1
Eco,Eco_map047,-0.522,0.296,0,1
Eco,Eco_map050,-0.289,-0.429,0,1
Eco,Eco_map051,0.693,-0.404,0,1
NatGeo,NatGeo_map043a,0.724,-0.253,0,1
NatGeo,NatGeo_map043b,0.724,-0.253,0,1
NatGeo,NatGeo_map043c,0.724,-0.253,0,1
NatGeo,NatGeo_map043d,0.724,-0.253,0,1
NatGeo,NatGeo_map043e,0.724,-0.253,0,1
NatGeo,NatGeo_map042,-0.614,0.131,0,1
NatGeo,NatGeo_map041,-0.013,0.356,0,1
NatGeo,NatGeo_map040,-0.283,-0.76,0,1
NatGeo,NatGeo_map039,-0.741,-0.608,0,1
NatGeo,NatGeo_map038,-0.662,-0.441,0,1
NatGeo,NatGeo_map009,0.454,-0.872,0,1
NatGeo,NatGeo_map008,0.318,-0.827,0,1
NatGeo,NatGeo_map007,-0.072,-0.885,0,0
NatGeo,NatGeo_map006,-0.067,-0.803,0,0
NatGeo,NatGeo_map003,-0.299,0.186,0,0
NatGeo,NatGeo_map035,0.21,0.676,0,0
NatGeo,NatGeo_map034,-0.229,-0.967,0,0
NatGeo,NatGeo_map029,0.287,0.771,0,0
NatGeo,NatGeo_map028,0.066,0.284,0,0
NatGeo,NatGeo_map027,-0.012,-0.256,0,0
NatGeo,NatGeo_map026,0.3,-0.237,0,0
NatGeo,NatGeo_map025,0.215,0.871,0,0
NatGeo,NatGeo_map024,-0.799,-0.25,0,0
NatGeo,NatGeo_map023,0.423,-0.266,0,0
NatGeo,NatGeo_map022,-0.908,0.017,0,0
NatGeo,NatGeo_map020,-0.543,-0.769,0,0
NatGeo,NatGeo_map019,-0.287,0,0,0
NatGeo,NatGeo_map018,-0.215,-0.744,0,0
NatGeo,NatGeo_map017,0.8,0.616,0,0
NatGeo,NatGeo_map016,0.089,0.66,0,0
NatGeo,NatGeo_map015,0.604,0.641,0,0
NatGeo,NatGeo_map014,-0.333,-0.683,0,0
NatGeo,NatGeo_map013,-0.917,-0.252,0,0
NatGeo,NatGeo_map012,-0.509,-0.618,0,0
NatGeo,NatGeo_map011,0.227,0.762,0,0
NatGeo,NatGeo_map010,-0.534,0.6,0,0
WSJ,WSJ_map070,-0.69,0.036,0,0
WSJ,WSJ_map069,-0.009,-0.572,0,0
WSJ,WSJ_map068,0.85,-0.418,0,0
WSJ,WSJ_map062,0.659,0.408,0,0
WSJ,WSJ_map061,-0.12,0.442,0,0
WSJ,WSJ_map058,0.82,-0.433,0,0
WSJ,WSJ_map059,-0.679,0.222,0,0
WSJ,WSJ_map057,-0.765,-0.148,0,0
WSJ,WSJ_map056,-0.356,0.054,0,0
WSJ,WSJ_map054,-0.729,0.149,0,0
WSJ,WSJ_map052,0.699,0.373,0,0
WSJ,WSJ_map050,-0.796,0.129,0,0
WSJ,WSJ_map045,-0.832,-0.024,0,0
WSJ,WSJ_map043,-0.35,-0.227,0,0
WSJ,WSJ_map042,-0.464,0.473,0,0
WSJ,WSJ_map041,0.623,0.274,0,0
WSJ,WSJ_map038,0.106,0.574,0,0
WSJ,WSJ_map037,0.715,0.36,0,0
WSJ,WSJ_map035,-0.841,0.266,0,0
WSJ,WSJ_map032,0.475,-0.546,0,0
WSJ,WSJ_map029,0.738,0.408,0,0
WSJ,WSJ_map028,0.93,0.172,0,0
WSJ,WSJ_map026,0.59,0.615,0,0
WSJ,WSJ_map025,0.514,0.633,0,0
WSJ,WSJ_map023,0.78,0.391,0,0
WSJ,WSJ_map022,-0.454,0.424,0,0
WSJ,WSJ_map020,0.724,0.209,0,0
WSJ,WSJ_map019,-0.401,-0.503,0,0
WSJ,WSJ_map013,-0.464,0.473,0,0
WSJ,WSJ_map011,-0.715,0.086,0,0
WSJ,WSJ_map010,0.636,-0.013,0,0
WSJ,WSJ_map008a,0.368,0.395,0,0
WSJ,WSJ_map008b,0.368,0.395,0,0
WSJ,WSJ_map005,-0.347,0.733,0,0
WSJ,WSJ_map004,0.628,0.123,0,0
WSJ,WSJ_map003,-0.474,0.327,0,0
WSJ,WSJ_map001,-0.914,-0.099,0,0
Wapo,Wapo_map099,-0.688,-0.504,0,0
Wapo,Wapo_map097,0.799,0.174,0,0
Wapo,Wapo_map098,0.879,-0.092,0,0
Wapo,Wapo_map096,0.837,-0.021,0,0
Wapo,Wapo_map095,0.135,0.672,0,0
Wapo,Wapo_map093,0.84,0.094,0,0
Wapo,Wapo_map092,0.611,0.027,0,0
Wapo,Wapo_map091,0.782,-0.042,0,0
Wapo,Wapo_map090,0.768,-0.105,0,0
Wapo,Wapo_map087,0.31,0.409,0,0
Wapo,Wapo_map086,0.604,-0.232,0,0
Wapo,Wapo_map085,0.533,-0.188,0,0
Wapo,Wapo_map084,0.814,0.043,0,0
Wapo,Wapo_map083,0.608,-0.473,0,0
Wapo,Wapo_map082,0.459,0.524,0,0
Wapo,Wapo_map081,0.6,-0.43,0,0
Wapo,Wapo_map080,0.61,-0.344,0,0
Wapo,Wapo_map079,0.5,0.249,0,0
Wapo,Wapo_map078,0.5,0.249,0,0
Wapo,Wapo_map077,0.538,-0.419,0,0
Wapo,Wapo_map076,0.538,-0.419,0,0
Wapo,Wapo_map075,0.358,0.468,0,0
Wapo,Wapo_map074,0.526,-0.48,0,0
Wapo,Wapo_map073,0.616,-0.602,0,0
Wapo,Wapo_map072,0.635,0.312,0,0
Wapo,Wapo_map071,0.721,-0.099,0,0
Wapo,Wapo_map069,0.717,0.306,0,0
Wapo,Wapo_map067,0.672,0.128,0,0
Wapo,Wapo_map066,-0.048,-0.887,0,0
Wapo,Wapo_map065,-0.033,0.862,0,0
Wapo,Wapo_map063,0.098,0.77,0,0
Wapo,Wapo_map062,0.99,0.061,0,0
Wapo,Wapo_map059,0.899,0.224,0,0
Wapo,Wapo_map058,0.927,0.296,0,0
Wapo,Wapo_map057,-0.426,0.703,0,0
Wapo,Wapo_map056,0.843,-0.045,0,0
Wapo,Wapo_map055,0.877,-0.052,0,0
Wapo,Wapo_map054,-0.313,-0.131,0,0
Wapo,Wapo_map053,-0.696,-0.293,0,0
Wapo,Wapo_map052,0.415,0.773,0,0
Wapo,Wapo_map051,0.355,0.888,0,0
Wapo,Wapo_map050,0.664,0.059,0,0
Wapo,Wapo_map049,0.722,0.071,0,0
Wapo,Wapo_map048,0.722,0.071,0,0
Wapo,Wapo_map047,0.75,0.227,0,0
Wapo,Wapo_map046,0.348,-0.835,0,0
Wapo,Wapo_map045,0.279,-0.787,0,0
Wapo,Wapo_map044,0.279,-0.787,0,0
Wapo,Wapo_map042,0.279,-0.787,0,0
Wapo,Wapo_map039,0.279,-0.787,0,0
Wapo,Wapo_map038,0.279,-0.787,0,0
Wapo,Wapo_map037,-0.98,-0.148,0,0
Wapo,Wapo_map036*,0.57,-0.473,0,0
Wapo,Wapo_map035,0.778,0.448,0,0
Wapo,Wapo_map034,0.252,-0.864,0,0
Wapo,Wapo_map033,0.036,-0.871,0,0
Wapo,Wapo_map032,0.858,-0.19,0,0
Wapo,Wapo_map031,0.058,0.714,0,0
Wapo,Wapo_map030,-0.729,-0.025,0,0
Wapo,Wapo_map029,-0.058,0.585,0,0
Wapo,Wapo_map028,-0.729,-0.025,0,0
Wapo,Wapo_story027,0.435,-0.691,0,0
Wapo,Wapo_map026,0.435,-0.691,0,0
Wapo,Wapo_story024,-0.793,-0.444,0,0
Wapo,Wapo_map023,-0.541,0.529,0,0
Wapo,Wapo_map022,0.563,0.145,0,0
Wapo,WaPo_map021,-0.75,0.224,0,0
Wapo,WaPo_map020,0.77,0.442,0,0
Wapo,WaPo_map019,0.794,0.013,0,0
Wapo,WaPo_map014,0.501,0.409,0,0
Wapo,WaPo_map013,0.477,0.465,0,0
Wapo,WaPo_map012,0.477,0.465,0,0
Wapo,WaPo_map011,0.477,0.465,0,0
Wapo,WaPo_map010,0.477,0.465,0,0
Wapo,WaPo_map009,0.477,0.465,0,0
Wapo,WaPo_map008,0.477,0.465,0,0
Wapo,WaPo_map007,0.477,0.465,0,0
Wapo,WaPo_map006,0.477,0.465,0,0
Wapo,WaPo_map005,0.477,0.465,0,0
Wapo,WaPo_map003,0.44,0.331,0,0
Wapo,WaPo_map001,0.375,-0.298,0,0
Wapo,WaPo_map016,-0.472,-0.696,0,0
Wapo,WaPo_map015,0.873,0.09,0,0
NYT_Sunday,NYTSunday_map076,-0.408,0.042,0,0
NYT_Sunday,NYTSunday_map075,-0.206,0.317,0,0
NYT_Sunday,NYTSunday_map074,0.097,-0.167,0,0
NYT_Sunday,NYTSunday_map072,-0.597,0.008,0,0
NYT_Sunday,NYTSunday_map071,-0.021,-0.374,0,0
NYT_Sunday,NYTSunday_map070,-0.444,0.119,0,0
NYT_Sunday,NYTSunday_map069,-0.611,-0.412,0,0
NYT_Sunday,NYTSunday_map068,-0.595,-0.254,0,0
NYT_Sunday,NYTSunday_map067,-0.614,-0.037,0,0
NYT_Sunday,NYTSunday_map066,0.85,0.004,0,0
NYT_Sunday,NYTSunday_map065,-0.15,-0.296,0,0
NYT_Sunday,NYTSunday_map064,-0.326,0.443,0,0
NYT_Sunday,NYTSunday_map063,-0.147,0.273,0,0
NYT_Sunday,NYTSunday_map062,0.423,-0.597,0,0
NYT_Sunday,NYTSunday_map061,0.152,0.018,0,0
NYT_Sunday,NYTSunday_map060,-0.245,0.134,0,0
NYT_Sunday,NYTSunday_map059,-0.621,0.058,0,0
NYT_Sunday,NYTSunday_map056,0.007,-0.043,0,0
NYT_Sunday,NYTSunday_map055,-0.593,0.337,0,0
NYT_Sunday,NYTSunday_map054,0.578,0.039,0,0
NYT_Sunday,NYTSunday_map053,0.574,-0.717,0,0
NYT_Sunday,NYTSunday_map052,-0.296,-0.673,0,0
NYT_Sunday,NYTSunday_map051,-0.131,-0.508,0,0
NYT_Sunday,NYTSunday_map050,-0.595,-0.254,0,0
NYT_Sunday,NYTSunday_map049,-0.778,0.159,0,0
NYT_Sunday,NYTSunday_map048,0.159,-0.244,0,0
NYT_Sunday,NYTSunday_map047,0.116,-0.286,0,0
NYT_Sunday,NYTSunday_map046,0.116,-0.286,0,0
NYT_Sunday,NYTSunday_map045,-0.643,-0.119,0,0
NYT_Sunday,NYTSunday_map044,-0.361,0.413,0,0
NYT_Sunday,NYTSunday_map043,0.237,-0.297,0,0
NYT_Sunday,NYTSunday_map042,0.226,0.074,0,0
NYT_Sunday,NYTSunday_map041,0.146,0.107,0,0
NYT_Sunday,NYTSunday_map040,-0.594,0.365,0,0
NYT_Sunday,NYTSunday_map039,-0.471,0.236,0,0
NYT_Sunday,NYTSunday_map037,-0.408,0.203,0,0
NYT_Sunday,NYTSunday_map035,-0.198,0.093,0,0
NYT_Sunday,NYTSunday_map034,-0.642,0.361,0,0
NYT_Sunday,NYTSunday_map033,-0.21,-0.313,0,0
NYT_Sunday,NYTSunday_map032,-0.315,0.372,0,0
NYT_Sunday,NYTSunday_map031,-0.384,-0.602,0,0
NYT_Sunday,NYTSunday_map030,-0.495,-0.151,0,0
NYT_Sunday,NYTSunday_map029,-0.671,0.262,0,0
NYT_Sunday,NYTSunday_map028,-0.303,0.197,0,0
NYT_Sunday,NYTSunday_map027,0.282,-0.191,0,0
NYT_Sunday,NYTSunday_map026,-0.555,-0.481,0,0
NYT_Sunday,NYTSunday_map024,0.825,-0.066,0,0
